Nº;CALHA;ESCOLA;ESCOLA (COORDENADA);POÇO ESCOLA;POÇO COMUNIDADE;POÇO SEMSA;TOTAL POÇOS;PROFUNDIDADE (m);BOMBA (CV);FASE;CAIXA (L);OBSERVAÇÃO;LATITUDE;LONGITUDE
1;RIO NEGRO;E.M. Aru Waimi;ESC. INDIG. MUL. ARU WAIMI;1;1;0;2;100;2,5;Monofásico;10000;;-2,918513967;-60,46704376
2;RIO NEGRO;E.M. Bom Jesus;E.M. BOM JESUS;0;0;1;1;60;1;Trifásico;2000;;-2,669025661;-60,60889469
3;RIO NEGRO;E.M. Canaã II;E.M. CANAA II;1;2;0;3;60;-;-;;;-3,007270005;-60,20597701
4;RIO NEGRO;E.M. Divino Espírito Santo;E.M. DIVINO ESPIRITO SANTO;1;1;0;2;75;5,5;Trifásico;5000;;-2,992841661;-60,40822169
5;RIO NEGRO;E.M. Ebenézer;E.M. EBENEZER;1;1;0;2;80;1/2;Monofásico;5000;;-2,99392366;-60,18639869
6;RIO NEGRO;E.M. Estrela da Manhã/2026;E.M. ESTRELA DA MANHA;1;1;0;2;127;3;Bifásico;10000;;-2,641474661;-60,65624269
7;RIO NEGRO;E.M. Figueiredo Pimentel;E.M. FIGUEIREDO PIMENTEL;1;0;0;1;120;1;Trifásico;5000;;-2,652856661;-60,60915669
8;RIO NEGRO;E.M. Francisco Diogo de Melo;E.M. FRANCISCO DIOGO DE MELO;0;0;1;1;45;1;Bifásico;5000;;-2,519098661;-60,78065269
9;RIO NEGRO;E.M. José Sobreira do Nascimento;E.M. JOSE SOBREIRA DO NASCIMENTO;1;1;0;2;75;1;Trifásico;5000;;-3,020787004;-60,164869
10;RIO NEGRO;E.M. Kanata T-Ykua;ESC. INDIG. MUL. KANATA T-YKUA;1;0;0;1;60;1;Trifásico;15000;;-2,82100897;-60,5016323
11;RIO NEGRO;E.M. KunyataPutira;E.I.M. KUNYATA PUTIRA;1;0;0;1;60;2/5;Bifásico;1500;;-2,774921661;-60,56925169
12;RIO NEGRO;E.M. Luiz Jorge da Silva;E. M. LUIZ JORGE DA SILVA;0;0;1;1;68;1/2;Bifásico;5000;;-2,92991366;-60,46670869
13;RIO NEGRO;E.M. Mário Palmério;E.M. MARIO PALMERIO;0;1;0;1;45;1/2;Trifásico;5000;;-2,896684661;-60,45434669
14;RIO NEGRO;E.M. Profª. Dian Kelly do Nascimento Mota;E.M. PROFª DIAN KELLY DO NASCIMENTO MOTA;1;1;0;2;55;1;Bifásico;3000;;-3,015835004;-60,15682601
15;RIO NEGRO;E.M. Profª. Paula Aliomar Ribeiro Beltrão;E.M. PROFESSORA PAULA ALIOMAR RIBEIRO BELTRAO;1;0;0;1;48;1/2;Bifásico;2000;;-2,925107269;-60,10957634
16;RIO NEGRO;E.M. Profº. Manuel da Silva Bahia;E.M. PROF. MANUEL DA SILVA BAHIA;0;1;0;1;50;1/2;Bifásico;3000;Precisa de um poço novo (poço com problemas) ASSOREANDO;-2,886193661;-60,47676469
17;RIO NEGRO;E.M. Profº. Paulo César da Silva Nonato;E.M. PROF. PAULO CESAR DA SILVA NONATO;1;1;0;2;120;1/2;Bifásico;3000;;-2,95156266;-60,13622669
18;RIO NEGRO;E.M. Profº. Paulo Freire;E.M. PAULO FREIRE;1;1;0;2;50;1/2;Monofásico;1000;;-2,96874266;-60,21049269
19;RIO NEGRO;E.M. PurangaPisasú/2024;ESC. INDIG. MUL. PURANGA PISASU;1;1;0;2;100;2;Trifásico;5000;;-2,747189661;-60,43120269
20;RIO NEGRO;E.M. Raimunda Brasil/2025;E.M. RAIMUNDA BRASIL;1;1;0;2;100;1/2;Trifásico;5000;;-2,55589466;-60,76168769
21;RIO NEGRO;E.M. Raul Pompéia;E.M. RAUL POMPEIA;0;0;0;0;;-;-;1000;Escola possui motobomba;-2,89964666;-60,22667669
22;RIO NEGRO;E.M. Rui Barbosa/2024;E.M. RUI BARBOSA;1;1;0;2;100;1/2;Trifásico;5000;O poço da comunidade está desativado;-2,789432661;-60,45115669
23;RIO NEGRO;E.M. Santo Antônio;E.M. SANTO ANTONIO -RIBEIRINHA;1;0;0;1;100;2;Trifásico;5000;;-2,734921661;-60,57265869
24;RIO NEGRO;E.M. São Francisco das Chagas;E.M. SAO FRANCISCO DAS CHAGAS;1;1;0;2;80;1/2;Monofásico;3000;;-3,012425005;-60,39917201
25;RIO NEGRO;E.M. São João;E.M. SAO JOAO -RIBEIRINHA;1;1;0;2;60;2,5;Trifásico;2000;;-3,045992004;-60,255973
26;RIO NEGRO;E.M. São José I/2024;E.M. SAO JOSE DO TARUMA;1;1;0;2;120;3;Monofásico;3000;;-3,027043004;-60,17937101
27;RIO NEGRO;E.M. São Sebastião I/2024;E.M. SAO SEBASTIAO I;1;0;0;1;120;1/2;Trifásico;3000;;-2,81630466;-60,48576569
28;RIO NEGRO;E.M. São Sebastião II;E.M. SAO SEBASTIAO II;1;1;0;2;80;1/2;Monofásico;5000;;-2,970245661;-60,19912269
29;RIO NEGRO;E.M. Silvio Romero/2024;E.M. SILVIO ROMERO;1;1;0;2;70;1;Monofásico;5000;O poço da escola está aguardando a escola nova para funcionar;-3,027220004;-60,37520101
30;RIO AMAZONAS;E.M. Canaã I;E.M. CANAA I;1;0;0;1;120;1/2;Bifásico;1000;;-3,146840005;-59,30247401
31;RIO AMAZONAS;E.M. Francisco Coelho/2026;E.M. FRANCISCO COELHO;1;1;0;2;120;1/2;Trifásico;5000;O poço da comunidade está condenado;-3,036347004;-59,80648101
32;RIO AMAZONAS;E.M. Francisco Orellana;E.M. FRANCISCO ORELLANA;1;2;0;3;39;1/2;Bifásico;2000;;-3,116879005;-59,32265501
33;RIO AMAZONAS;E.M. Luís Alberto Castelo/2025;E.M. LUIS ALBERTO CASTELO;1;1;0;2;120;1;Bifásico;3000;;-3,069079005;-59,38779301
34;RIO AMAZONAS;E.M. Manoel Chagas;E.M. MANOEL CHAGAS;1;2;0;3;60;3;Trifásico;2000;Os dois poços da comunidade foram perfurados em 2026;-3,131275004;-59,43250401
35;RIO AMAZONAS;E.M. Monte Sinai;E.M. MONTE SINAI;1;0;0;1;100;1/2;Bifásico;5000;;-3,078314005;-59,33183601
36;RIO AMAZONAS;E.M. Prof.ª Elizabeth Siqueira Ferreira;E.M. PROFESSORA ELIZABETH SIQUEIRA FERREIRA;0;0;1;1;60;1/2;Bifásico;5000;Poço na beira do barranco, risco de perder;-3,051435004;-59,67806301
37;RIO AMAZONAS;E.M. Nossa Senhora de Nazaré;E.M. NOSSA SENHORA DE NAZARE;1;1;0;2;86;1/2;Trifásico;5000;Precisa de mais 2 poços para comunidade;-3,111524004;-59,52255601
38;RIO AMAZONAS;E.M. Nossa Senhora do Carmo;E.M. NOSSA SENHORA DO CARMO;1;0;1;2;120;1/2;Monofásico;3000;;-3,144843004;-59,34576501
39;RIO AMAZONAS;E.M. Santa Luzia;E.M. SANTA LUZIA;1;1;0;2;60;3;Trifásico;3000;O poço perfurado na comunidade foi em 2026;-3,036386005;-59,82445501
40;RIO AMAZONAS;E.M. Santa Rosa I;E.M. SANTA ROSA;1;0;0;1;28;1;Monofásico;1000;;-3,141730005;-59,40216301
41;RIO AMAZONAS;E.M. São Francisco;E.M. SAO FRANCISCO;1;0;0;1;100;1/2;Trifásico;3000;A maioria dos comunitários utilizam cacimba;-3,087698005;-59,56925501
42;RIO AMAZONAS;E.M. São Jorge;E.M. SAO JORGE;1;0;0;1;120;2;Bifásico;5000;;-3,122916004;-59,21767801
43;RIO AMAZONAS;E.M. São José II;E.M. SAO JOSE DO PARANA DA EVA;1;0;0;1;120;2,5;Trifásico;3000;;-3,173757004;-59,18719801
44;RIO AMAZONAS;E.M. São Lázaro;E.M. SAO LAZARO;1;1;0;2;120;2;Bifásico;1000;;-3,057590005;-59,66244501
45;RIO AMAZONAS;E.M. São Luiz de Gonzaga;E.M. SAO LUIZ DE GONZAGA;1;0;0;1;80;1/2;Trifásico;3000;;-2,98133866;-59,83519369
46;RIO AMAZONAS;E.M. São Pedro;E.M. SAO PEDRO -RIBEIRINHA;1;0;0;1;80;1/2;Bifásico;2000;;-3,120814004;-59,47100401
47;RIO AMAZONAS;E.M. São Salvador;E.M. SAO SALVADOR;1;0;0;1;65;1/2;Monofásico;3000;;-3,118318005;-59,35695401
48;RIO AMAZONAS;E.M. Vista Alegre;E.M. VISTA ALEGRE;1;0;0;1;120;1/2;Bifásico;3000;Precisando de uma caixa de 3000L;-3,151903004;-59,25761701
